Site,Latitude,Longitude,Elevation,Time,Depth,LakeElevation,BedTemperature
HarryPotter,70.032,-152.194,12.3,8/27/18,2.20,12.25,4.4
HarryPotter,70.032,-152.194,12.3,8/28/18,2.19,12.24,4.1
HarryPotter,70.032,-152.194,12.3,8/29/18,2.19,12.24,4.5
HarryPotter,70.032,-152.194,12.3,8/30/18,2.20,12.25,4.2
HarryPotter,70.032,-152.194,12.3,8/31/18,2.20,12.25,4.1
HarryPotter,70.032,-152.194,12.3,9/1/18,2.22,12.27,4.6
HarryPotter,70.032,-152.194,12.3,9/2/18,2.22,12.27,4.6
HarryPotter,70.032,-152.194,12.3,9/3/18,2.22,12.27,5.4
HarryPotter,70.032,-152.194,12.3,9/4/18,2.22,12.27,5.7
HarryPotter,70.032,-152.194,12.3,9/5/18,2.22,12.27,6.5
HarryPotter,70.032,-152.194,12.3,9/6/18,2.23,12.28,6.1
HarryPotter,70.032,-152.194,12.3,9/7/18,2.23,12.28,5.7
HarryPotter,70.032,-152.194,12.3,9/8/18,2.23,12.28,5.4
HarryPotter,70.032,-152.194,12.3,9/9/18,2.23,12.28,5.9
HarryPotter,70.032,-152.194,12.3,9/10/18,2.23,12.28,6.2
HarryPotter,70.032,-152.194,12.3,9/11/18,2.23,12.28,5.9
HarryPotter,70.032,-152.194,12.3,9/12/18,2.23,12.28,6.0
HarryPotter,70.032,-152.194,12.3,9/13/18,2.23,12.28,6.5
HarryPotter,70.032,-152.194,12.3,9/14/18,2.23,12.28,6.3
HarryPotter,70.032,-152.194,12.3,9/15/18,2.23,12.28,5.7
HarryPotter,70.032,-152.194,12.3,9/16/18,2.23,12.28,4.6
HarryPotter,70.032,-152.194,12.3,9/17/18,2.23,12.28,3.6
HarryPotter,70.032,-152.194,12.3,9/18/18,2.22,12.27,2.7
HarryPotter,70.032,-152.194,12.3,9/19/18,2.23,12.28,2.3
HarryPotter,70.032,-152.194,12.3,9/20/18,2.22,12.27,2.1
HarryPotter,70.032,-152.194,12.3,9/21/18,2.22,12.27,2.1
HarryPotter,70.032,-152.194,12.3,9/22/18,2.22,12.27,1.9
HarryPotter,70.032,-152.194,12.3,9/23/18,2.22,12.27,1.6
HarryPotter,70.032,-152.194,12.3,9/24/18,2.22,12.27,1.3
HarryPotter,70.032,-152.194,12.3,9/25/18,2.22,12.27,1.1
HarryPotter,70.032,-152.194,12.3,9/26/18,2.21,12.26,1.0
HarryPotter,70.032,-152.194,12.3,9/27/18,2.21,12.26,1.3
HarryPotter,70.032,-152.194,12.3,9/28/18,2.21,12.26,1.3
HarryPotter,70.032,-152.194,12.3,9/29/18,NaN,NaN,0.4
HarryPotter,70.032,-152.194,12.3,9/30/18,NaN,NaN,0.5
HarryPotter,70.032,-152.194,12.3,10/1/18,NaN,NaN,0.9
HarryPotter,70.032,-152.194,12.3,10/2/18,2.21,12.26,1.2
